	class_count	expression_avg	happy_avg	stu_count	tea_id	tags
720	11	343.6363636	0.044893685	5	7193943	[]
721	40	234.5	0.071140954	8	34144650	[]
722	7	249.4285714	0.105641501	6	30947622	[]
723	9	186.7777778	0.045462627	6	35862001	[]
725	29	243.0344828	0.072299343	12	27119973	[]
727	10	263.4	0.067583216	8	6934889	[]
728	20	242.5	0.073884715	17	29799763	[]
730	20	166.1	0.113959613	10	19183321	[]
731	22	160.6363636	0.061265369	9	19243391	[]
732	13	245.0769231	0.060984931	8	37669289	[]
734	6	245.5	0.07191648	5	39991150	[]
735	10	226.6	0.089877714	6	38633412	[]
736	7	314.5714286	0.111970414	5	39215176	[]
737	10	265.1	0.077045301	7	23129032	[]
738	6	199.8333333	0.050327386	4	37340872	[]
739	6	238.1666667	0.140812872	4	36697223	[]
740	15	199.9333333	0.180024563	7	15213074	[]
741	55	286.5272727	0.086338638	22	25941038	[]
742	9	259.5555556	0.089102427	6	2655009	[]
743	20	228.7	0.078767796	13	33026259	[]
744	15	181.1333333	0.039172564	4	3940981	[]
745	11	193.7272727	0.069150971	9	35471878	[]
747	8	406.875	0.069065172	5	13987399	[]
749	15	337.6666667	0.035409168	6	2182924	[]
753	35	381.2857143	0.041081985	8	7792418	[]
755	14	353.1428571	0.085864317	8	17675738	[]
756	29	196.3793103	0.078446707	15	13287979	[]
757	7	160.7142857	0.083284398	5	37927344	[]
761	23	329.7826087	0.145721193	18	8921237	[]
762	6	242.1666667	0.041458083	4	16309923	[]
764	27	239.037037	0.051606766	11	29513090	[]
765	6	256.1666667	0.224212277	4	34530825	[]
767	17	197.1764706	0.074244097	13	35860898	[]
769	61	200.8852459	0.082946469	19	29176845	[]
772	9	368.4444444	0.052719886	4	3177040	[]
773	8	261.25	0.083188312	4	37136113	[]
774	13	189.6923077	0.102448222	7	28212170	[]
777	10	246.5	0.076346052	7	16186371	[]
778	11	116.9090909	0.066969501	5	36953333	['enhance_expression']
782	13	299.3846154	0.056850427	7	21827113	[]
785	16	318.5	0.146700327	8	19520970	[]
786	17	197.5294118	0.053973083	12	7830731	[]
788	9	228.7777778	0.052923728	4	1805406	[]
790	12	208.1666667	0.08614904	7	10574596	[]
791	30	240.0666667	0.106044835	23	36098297	[]
792	22	254.5	0.085211885	11	22614314	[]
793	13	252.3076923	0.049379582	7	6484200	[]
795	14	339.3571429	0.014841781	5	24303960	['enhance_happyness']
796	12	159.9166667	0.168396319	6	36537815	[]
797	20	189.7	0.050885798	10	29319664	[]
801	10	240.7	0.134121929	5	31995518	[]
802	16	223.9375	0.107946879	9	34885645	[]
804	22	272.6818182	0.092619444	9	32884624	[]
805	12	167	0.054275048	5	15482076	[]
807	10	296.3	0.114422821	7	12118201	[]
808	21	280.8571429	0.022350938	6	30789866	[]
810	11	289	0.123167868	6	26777232	[]
811	11	236	0.097115719	5	30646969	[]
812	37	280.1621622	0.072850412	10	10011855	[]
814	22	224.5454545	0.02856302	11	28026031	[]
816	10	228.9	0.049598329	6	13127559	[]
818	8	244.875	0.056437758	5	23449288	[]
820	16	160.5625	0.046593849	7	35304121	[]
821	11	151.6363636	0.08879072	6	21031271	[]
823	12	275.1666667	0.03083494	5	31612425	[]
824	41	283.2682927	0.086714362	14	29950864	[]
826	7	246.4285714	0.034929763	8	32301021	[]
827	41	174.9756098	0.087186276	29	28557575	[]
829	12	164.25	0.088802655	6	16594696	[]
830	8	272.875	0.037722702	4	29800376	[]
832	7	211.1428571	0.055207018	4	34362142	[]
837	6	305	0.041538507	5	5242632	[]
